WormBase Id,Public Name,stage_4_cell,stage_E_div,stage_4_AB_div,stage_5_AB_div,stage_6_AB_div,stage_7_AB_div,stage_VE,stage_CS,stage_Mov,stage_L1
WBGene00008669,acs-14,0.78362,1.1044,0.76379,1.3002,4.0326,4.6858,4.9678,4.9061,4.5939,4.6857
WBGene00019920,acs-15,3.1004,2.9463,2.7473,2.6089,2.6402,2.8326,2.8528,2.9048,2.9783,2.9302
WBGene00018579,acs-16,1.9601,3.0154,2.7746,2.8101,2.4388,1.6271,2.6937,3.5287,3.2964,4.3615
WBGene00016716,acs-17,2.4473,3.3057,3.207,3.3242,3.5259,3.8494,3.7241,4.14,4.5528,4.352
WBGene00011173,acs-18,0.67376,1.2345,0.99948,0.59155,0.54537,0.56786,0.43277,0.56509,1.0475,0.96603
WBGene00007969,acs-19,3.6812,3.0793,2.477,1.7742,1.86,1.6673,1.1059,1.016,1.8697,2.6161
WBGene00009221,acs-2,2.5058,2.9081,2.8824,3.4779,3.5962,3.7201,3.052,2.2603,2.4305,3.0306
WBGene00009218,acs-20,3.5414,3.7292,3.3686,3.3361,3.6796,4.1177,2.8439,2.8653,4.1793,4.4013
WBGene00016849,acs-21,3.7427,3.3237,2.6599,1.9704,2.008,2.5107,3.6126,4.2279,4.0259,4.1508
WBGene00017012,acs-22,2.1843,2.9577,4.2063,4.6292,4.7727,4.9494,4.477,4.7344,4.6986,4.6917
WBGene00020343,acs-3,1.2729,2.1156,4.1526,4.7176,4.6774,4.4204,2.4564,3.1907,4.3615,3.8409
WBGene00018152,acs-4,3.9492,3.6572,3.1179,3.1267,3.4891,4.0481,3.7444,3.0706,2.9588,3.804
WBGene00013575,acs-5,2.6153,3.7842,4.3991,4.6599,4.777,4.9425,4.9412,5.0633,4.891,5.1016
WBGene00022849,acs-6,1.3091,2.4759,1.977,1.3402,1.3458,0.68704,0.85446,1.0142,1.0794,1.8953
WBGene00007228,acs-7,1.3655,1.7799,1.7863,1.7627,3.6222,4.607,4.89,4.9608,4.5762,4.4547
